,customer_gender,customer_height,customer_weight,customer_size,major,sub,link,product_star,product_sales
683,1.0,156.0,62.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1645762,4.8,500.0
684,1.0,160.0,60.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1659998,4.6,300.0
685,1.0,167.0,67.0,3.0,skirt,midi,https://www.musinsa.com/app/goods/1645760,4.8,400.0
686,1.0,166.0,53.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1125915,4.8,200.0
687,1.0,158.0,52.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1980169,4.6,200.0
688,0.0,173.0,69.0,3.0,skirt,midi,https://www.musinsa.com/app/goods/2300718,4.8,200.0
689,1.0,159.0,59.0,3.0,skirt,midi,https://www.musinsa.com/app/goods/1980169,4.6,200.0
690,1.0,158.0,43.0,0.0,skirt,midi,https://www.musinsa.com/app/goods/2300718,4.8,200.0
691,1.0,158.0,48.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1980169,4.6,200.0
692,1.0,163.0,50.0,2.0,skirt,midi,https://www.musinsa.com/app/goods/1659998,4.6,300.0
693,1.0,150.0,50.0,1.0,skirt,midi,https://www.musinsa.com/app/goods/1645760,4.8,400.0
694,1.0,160.0,51.0,0.0,skirt,midi,https://www.musinsa.com/app/goods/1659998,4.6,300.0
695,1.0,163.0,63.0,3.0,skirt,midi,https://www.musinsa.com/app/goods/1595556,4.7,700.0
